time_slot,exam_id,course_code,year,enrollment
0,8,CV3104,5,1
0,13,EC3101,5,1
0,30,LA3105,5,3
0,59,LA5206,10,2
0,66,MA2209,4,1
1,34,LA3204,6,3
1,39,LA4104,7,1
1,62,LN5101,9,7
2,4,CA3201,6,1
2,14,EC3103,5,1
2,19,EE2101,3,1
2,45,LA4204,8,3
2,60,LAIX05,10,1
2,80,MEE3140,5,1
3,31,LA3106,5,3
3,50,LA5103,9,3
4,0,AR5101,9,7
4,6,CV2203,4,1
4,35,LA3205,6,2
5,7,CV3103,5,1
5,16,EC3201,6,1
5,24,LA1903,9,1
5,43,LA4202,8,4
5,73,ME3104,5,3
5,78,MEE3102,5,1
6,11,DOA2010,9,7
6,23,LA1902,9,1
6,55,LA5202,10,2
7,29,LA3104,5,1
7,48,LA5101,9,3
7,64,MA2205,4,1
7,81,MEE3149,5,1
8,42,LA4201,8,2
8,63,MA2109,3,2
8,74,ME3202,6,2
9,17,EC3251,6,1
9,28,LA3103,5,2
9,47,LA4206,8,1
9,53,LA5106,9,6
9,75,ME4163,7,1
10,1,AR5103,9,7
10,2,BB3104,5,1
10,22,LA1901,9,1
10,56,LA5203,10,2
11,12,EC2201,4,1
11,25,LA1905,9,1
11,36,LA4101,7,3
11,41,LA4142,7,2
11,72,ME3103,5,1
11,77,MEE3101,5,1
12,5,CA3203,6,1
12,21,LA1301,3,1
12,33,LA3203,6,4
12,61,LN2207,4,1
12,65,MA2207,4,2
12,70,ME2202,4,1
13,38,LA4103,7,3
13,40,LA4105,7,1
13,51,LA5104,9,4
13,69,ME0001,7,1
14,3,BB3140,5,1
14,57,LA5204,10,1
14,67,MA2210,4,1
15,26,LA3101,5,1
15,44,LA4203,8,4
15,76,ME4166,7,1
15,79,MEE3120,5,1
16,18,EC4146,7,1
16,37,LA4102,7,3
16,52,LA5105,9,5
16,71,ME3102,5,1
17,10,DOA2007,5,1
17,15,EC3104,5,1
17,20,IT3202,6,1
17,27,LA3102,5,2
17,54,LA5201,10,2
17,68,MA2217,4,1
18,32,LA3202,6,1
18,49,LA5102,9,3
19,9,CY1003,4,1
19,46,LA4205,8,1
19,58,LA5205,10,1
