student_id,course_id
0,0
0,3
0,4
1,7
1,6
2,2
2,5
2,4
2,3
3,6
3,7
4,1
4,2
4,4
5,3
5,2
5,0
6,7
6,6
7,7
7,6
8,0
8,2
8,3
9,3
9,1
9,4
10,4
10,2
10,3
11,6
11,7
12,7
12,6
13,4
13,5
13,3
14,6
14,7
15,7
15,6
16,6
16,7
17,4
17,3
18,1
18,4
18,0
18,5
18,3
19,3
19,4
19,1
20,5
20,0
20,4
20,1
21,5
21,3
21,1
22,2
22,1
22,3
23,3
23,5
23,4
23,2
24,6
24,7
25,3
25,0
25,4
26,7
26,6
27,7
27,6
28,7
28,6
29,7
29,6
30,7
30,6
31,4
31,2
31,1
32,6
32,7
33,2
33,5
33,3
34,1
34,3
34,2
34,0
35,6
35,7
36,2
36,0
36,1
36,3
37,6
37,7
38,7
38,6
39,3
39,0
39,5
