student_id,year
0,3
1,3
2,2
3,2
4,2
5,3
6,3
7,2
8,3
9,2
10,2
11,2
12,2
13,3
14,3
15,3
16,3
17,2
18,3
19,2
20,3
21,3
22,3
23,2
24,2
25,2
26,3
27,3
28,3
29,3
30,3
31,2
32,3
33,3
34,3
35,2
36,2
37,2
38,2
39,3
40,2
41,3
42,2
43,3
44,2
45,2
46,3
47,2
48,3
49,3
50,3
51,2
52,2
53,3
54,3
55,2
56,3
57,3
58,3
59,2
60,3
61,3
62,2
63,2
64,2
65,3
66,2
67,3
68,2
69,3
70,3
71,3
72,3
73,3
74,3
75,2
76,2
77,2
78,3
79,3
80,3
81,2
82,3
83,2
84,2
85,2
86,3
87,3
88,3
89,2
90,3
91,2
92,3
93,2
94,3
95,2
96,2
97,2
98,3
99,2
