student_id,year
0,2
1,3
2,2
3,3
4,3
5,3
6,3
7,3
8,2
9,2
10,3
11,2
12,3
13,3
14,3
15,3
16,3
17,2
18,3
19,2
20,3
21,2
22,2
23,3
24,2
25,2
26,2
27,3
28,2
29,3
30,3
31,3
32,2
33,2
34,2
35,2
36,3
37,3
38,3
39,2
40,3
41,3
42,3
43,3
44,3
45,2
46,2
47,3
48,3
49,2
50,2
51,2
52,2
53,2
54,2
55,3
56,3
57,3
58,3
59,2
60,3
61,3
62,2
63,3
64,2
65,3
66,2
67,2
68,3
69,2
70,2
71,3
72,2
73,2
74,3
75,2
76,3
77,2
78,3
79,3
80,3
81,3
82,2
83,2
84,3
85,2
86,2
87,3
88,2
89,3
90,3
91,3
92,2
93,2
94,3
95,3
96,2
97,3
98,3
99,3
