student_id,course_id
0,0
1,4
1,8
1,7
1,2
1,1
2,6
2,2
2,9
2,4
3,0
4,8
4,1
4,6
5,0
6,0
7,0
8,8
8,2
9,0
10,3
10,5
10,9
11,4
11,7
11,9
12,2
12,4
12,3
12,6
13,0
14,0
15,0
16,5
16,7
16,1
16,6
17,0
18,0
19,0
20,0
21,0
22,8
22,7
22,9
23,1
23,4
23,9
23,7
23,6
24,6
24,3
24,2
25,0
26,0
27,9
27,7
27,1
27,5
27,3
28,0
29,5
29,8
29,3
29,1
30,0
31,0
32,2
32,4
32,1
33,0
34,3
34,4
34,2
34,5
35,0
36,0
37,1
37,9
38,0
39,1
39,9
40,2
40,1
40,3
41,2
41,9
41,7
41,3
41,1
42,4
42,9
42,2
42,5
43,3
43,9
43,2
44,7
44,5
44,3
45,6
45,1
45,4
45,9
45,2
46,2
46,7
46,3
46,1
47,0
48,1
48,9
48,4
48,2
48,3
49,9
49,3
49,2
50,0
51,7
51,9
52,0
53,0
54,0
55,0
56,0
57,5
57,1
57,6
57,9
58,0
59,0
60,0
61,2
61,7
61,9
61,6
61,8
62,2
62,1
63,7
63,1
63,2
63,5
64,0
65,8
65,5
65,6
65,1
66,0
67,0
68,3
68,5
68,4
68,6
68,9
69,0
70,3
70,1
71,0
72,5
72,8
72,7
72,6
73,5
73,9
73,8
74,2
74,3
74,6
74,1
75,0
76,0
77,0
78,0
79,4
79,2
79,9
79,3
