time_slot,exam_id,course_code,year,enrollment
0,2,CA3203,6,1
0,30,LA4202,8,3
1,6,EC3103,5,1
1,19,LA3105,5,2
2,28,LA4104,7,1
2,33,LA4205,8,1
2,42,LA5205,10,1
2,44,LAIX05,10,1
3,39,LA5202,10,2
4,4,EC2201,4,1
4,11,LA1901,9,1
4,15,LA3101,5,1
4,35,LA5104,9,2
4,54,MEE3102,5,1
5,9,IT3202,6,1
5,27,LA4103,7,2
5,43,LA5206,10,2
5,47,MA2209,4,1
6,24,LA3205,6,2
6,46,MA2205,4,1
7,13,LA1903,9,1
7,17,LA3103,5,1
7,37,LA5106,9,3
7,49,ME3102,5,1
8,29,LA4201,8,2
8,41,LA5204,10,1
9,22,LA3203,6,2
9,36,LA5105,9,2
10,0,BB3104,5,1
10,16,LA3102,5,1
10,38,LA5201,10,2
11,3,CY1003,4,1
11,8,EC3201,6,1
11,14,LA1905,9,1
11,23,LA3204,6,3
12,7,EC3104,5,1
12,31,LA4203,8,3
13,25,LA4101,7,3
13,45,LN2207,4,1
13,48,MA2210,4,1
13,51,ME3104,5,2
14,12,LA1902,9,1
14,18,LA3104,5,1
14,34,LA5101,9,1
14,50,ME3103,5,1
14,53,MEE3101,5,1
15,5,EC3101,5,1
15,10,LA1301,3,1
15,26,LA4102,7,2
15,32,LA4204,8,3
15,52,ME3202,6,1
16,40,LA5203,10,2
17,1,CA3201,6,1
17,20,LA3106,5,2
17,21,LA3202,6,1
