course_id,course_code,description,year,enrollment
0,AR5101,DESIGN DISSERTATION I,9,7
1,AR5103,HOUSING,9,7
2,BB3104,TOTAL QUALITY MANAGEMENT,5,1
3,CA3201,CRYPTOGRAPHY FUNDAMENTALS,6,1
4,CA3203,FUNDAMENTALS TO MOBILE COMPUTING,6,1
5,CV2203,ANALYSIS OF INDETERMINATE STRUCTURES,4,1
6,CV3103,DESIGN OF REINFORCED CONCRETE STRUCTURES,5,1
7,CV3104,WASTE WATER MANAGEMENT,5,1
8,CY1003,ENVIRONMENTAL SCIENCE,4,1
9,EC2201,ANALOG INTEGRATED CIRCUITS & SYSTEMS,4,1
10,EC3101,ANTENNAS,5,1
11,EC3103,ANALOG & DIGITAL COMMUNICATION,5,1
12,EC3104,CMOS VLSI DESIGN,5,1
13,EC3201,MICROWAVE ENGINEERING,6,1
14,EE2101,ANALOG & DIGITAL SYSTEM DESIGN,3,1
15,IT3202,AUTOMATA THEORY AND  COMPILER DESIGN (PC-13),6,1
16,LA1301,LEGAL RESEARCH METHODOLOGY,3,1
17,LA1901,INSURANCE LAW,9,1
18,LA1902,INTELLECTUAL PROPERTY RIGHT,9,1
19,LA1903,LAW OF TAXATION,9,1
20,LA1905,RIGHT TO INFORMATION,9,1
21,LA3101,FAMILY LAW I,5,1
22,LA3102,LAW OF CRIMES I,5,2
23,LA3103,COMPANY LAW I,5,2
24,LA3104,CODE OF CRIMINAL PROCEDURE I,5,1
25,LA3105,INTERNATIONAL LAW,5,3
26,LA3106,JURISPRUDENCE,5,3
27,LA3202,LAW OF CRIMES II,6,1
28,LA3203,COMPANY LAW II,6,4
29,LA3204,CODE OF CRIMINAL PROCEDURE II,6,3
30,LA3205,LAW OF EVIDENCE,6,2
31,LA4101,LAW OF PROPERTY & EASEMENT,7,3
32,LA4102,"PLEADING, DRAFTING AND CONVEYANCING",7,3
33,LA4103,ADMINISTRATIVE LAW,7,3
34,LA4104,CODE OF CIVIL PROCEDURE I,7,1
35,LA4105,ALTERNATIVE DISPUTE RESOLUTION,7,1
36,LA4201,LAND LAW AND TENANCY PROVISIONS,8,2
37,LA4202,LAW OF TAXATION,8,4
38,LA4203,MOOT COURT EXERCISE & INTERNSHIPS,8,4
39,LA4204,CODE OF CIVIL PROCEDURE II,8,3
40,LA4205,LAW OF INTELLECTUAL PROPERTY RIGHTS,8,1
41,LA4206,PROFESSIONAL ETHICS AND BAR- BENCH RELATIONS,8,1
42,LA5101,INSURANCE LAW,9,3
43,LA5102,"CRIMINOLOGY, PENOLOGY AND VICTIMOLOGY",9,3
44,LA5103,INSOLVENCY AND BANKRUPTCY LAW,9,3
45,LA5104,"LAW OF COMMERCIAL COURTS, SPECIFIC RELIEF AND LIMITATION",9,4
46,LA5105,CYBER LAW,9,5
47,LA5106,HUMAN RIGHTS AND INTERNATIONAL CONVENTIONS,9,6
48,LA5201,INTERNATIONAL CRIMINAL LAW AND INTERNATIONAL CRIMINAL COURT,10,2
49,LA5202,LAW OF ANTI- CORRUPTION AND RIGHT TO INFORMATION,10,2
50,LA5203,"LAW ON COMPETITION, MERGER AND ACQUISITION",10,2
51,LA5204,LAW OF BANKING AND NEGOTIABLE INSTRUMENTS,10,1
52,LA5205,LAW ON TRANSPORTATION,10,1
53,LA5206,LAW OF REGISTRATION AND STAMP DUTY,10,2
54,LAIX05,MEDIA & LAW,10,1
55,LN2207,FRENCH FOR BEGINNERS-II,4,1
56,LN5101,FOREIGN LANGUAGE,9,7
57,MA2109,ENGINEERING MATHEMATICS – III,3,2
58,MA2205,ENGINEERING MATHEMATICS,4,1
59,MA2207,ENGINEERING MATHEMATICS - IV,4,2
60,MA2209,BUSINESS STATISTICS,4,1
61,MA2210,NUMERICAL METHODS,4,1
62,MA2217,ENGINEERING MATHEMATICS – IV,4,1
63,ME2202,FLUID MECHANICS,4,1
64,ME3102,DESIGN OF MACHINE ELEMENTS,5,1
65,ME3103,HEAT & MASS TRANSFER,5,1
66,ME3104,INTERNAL COMBUSTION ENGINE,5,3
67,ME3202,INTRODUCTION TO FINITE ELEMENT METHODS,6,2
68,MEE3101,DESIGN OF MACHINE ELEMENTS,5,1
69,MEE3102,HEAT TRANSFER,5,1
