student_id,course_id,course_code
67,0,CS101
81,0,CS101
79,0,CS101
31,0,CS101
40,0,CS101
3,0,CS101
73,0,CS101
82,0,CS101
86,0,CS101
74,0,CS101
97,0,CS101
93,0,CS101
66,0,CS101
27,0,CS101
70,0,CS101
4,0,CS101
48,0,CS101
13,0,CS101
69,0,CS101
62,0,CS101
6,0,CS101
75,0,CS101
46,0,CS101
90,0,CS101
12,0,CS101
8,0,CS101
71,0,CS101
26,0,CS101
14,0,CS101
99,0,CS101
76,0,CS101
17,0,CS101
98,0,CS101
95,0,CS101
5,0,CS101
44,0,CS101
59,0,CS101
22,0,CS101
47,0,CS101
89,0,CS101
30,0,CS101
7,0,CS101
77,0,CS101
80,0,CS101
15,0,CS101
51,0,CS101
9,0,CS101
78,0,CS101
56,0,CS101
84,0,CS101
18,0,CS101
11,0,CS101
33,0,CS101
37,0,CS101
29,0,CS101
94,0,CS101
57,0,CS101
43,0,CS101
36,0,CS101
49,0,CS101
2,0,CS101
34,0,CS101
83,0,CS101
24,0,CS101
41,0,CS101
42,0,CS101
60,0,CS101
0,0,CS101
16,0,CS101
87,0,CS101
65,0,CS101
91,0,CS101
72,0,CS101
61,0,CS101
19,0,CS101
85,0,CS101
32,0,CS101
55,0,CS101
68,0,CS101
21,0,CS101
23,0,CS101
54,0,CS101
96,0,CS101
38,0,CS101
58,0,CS101
92,0,CS101
88,0,CS101
39,0,CS101
10,0,CS101
20,0,CS101
28,0,CS101
25,0,CS101
35,0,CS101
52,0,CS101
50,0,CS101
64,0,CS101
53,0,CS101
1,0,CS101
63,0,CS101
45,0,CS101
21,1,CS102
74,1,CS102
75,1,CS102
99,1,CS102
66,1,CS102
50,1,CS102
80,1,CS102
20,1,CS102
47,1,CS102
90,1,CS102
91,1,CS102
60,1,CS102
37,1,CS102
25,1,CS102
27,1,CS102
95,1,CS102
57,1,CS102
26,1,CS102
18,1,CS102
22,1,CS102
7,1,CS102
34,1,CS102
51,1,CS102
69,1,CS102
40,1,CS102
1,1,CS102
71,1,CS102
10,1,CS102
97,1,CS102
67,1,CS102
35,1,CS102
6,1,CS102
5,1,CS102
