time_slot,exam_id,course_code,year,enrollment
0,2,BB3104,5,1
0,5,CV2203,4,1
0,32,LA4102,7,3
0,35,LA4105,7,1
0,37,LA4202,8,4
1,3,CA3201,6,1
1,49,LA5202,10,2
2,18,LA1902,9,1
2,47,LA5106,9,6
3,0,AR5101,9,7
3,9,EC2201,4,1
3,17,LA1901,9,1
3,26,LA3106,5,3
3,52,LA5205,10,1
4,8,CY1003,4,1
4,28,LA3203,6,4
4,33,LA4103,7,3
4,59,MA2207,4,2
4,67,ME3202,6,2
5,11,EC3103,5,1
5,23,LA3103,5,2
5,41,LA4206,8,1
5,43,LA5102,9,3
5,68,MEE3101,5,1
6,40,LA4205,8,1
6,53,LA5206,10,2
7,6,CV3103,5,1
7,12,EC3104,5,1
7,15,IT3202,6,1
7,19,LA1903,9,1
7,20,LA1905,9,1
7,22,LA3102,5,2
7,30,LA3205,6,2
7,36,LA4201,8,2
7,61,MA2210,4,1
8,21,LA3101,5,1
8,39,LA4204,8,3
9,14,EE2101,3,1
9,25,LA3105,5,3
9,42,LA5101,9,3
9,51,LA5204,10,1
9,58,MA2205,4,1
10,7,CV3104,5,1
10,16,LA1301,3,1
10,48,LA5201,10,2
10,56,LN5101,9,7
10,63,ME2202,4,1
11,29,LA3204,6,3
12,24,LA3104,5,1
12,45,LA5104,9,4
12,57,MA2109,3,2
12,60,MA2209,4,1
13,13,EC3201,6,1
13,27,LA3202,6,1
13,44,LA5103,9,3
13,66,ME3104,5,3
14,50,LA5203,10,2
15,10,EC3101,5,1
15,31,LA4101,7,3
15,34,LA4104,7,1
15,62,MA2217,4,1
15,65,ME3103,5,1
16,1,AR5103,9,7
16,46,LA5105,9,5
16,54,LAIX05,10,1
17,4,CA3203,6,1
17,38,LA4203,8,4
17,55,LN2207,4,1
17,64,ME3102,5,1
17,69,MEE3102,5,1
