time_slot,exam_id,course_code,year,enrollment
0,23,LA1902,9,1
0,29,LA3104,5,1
0,52,LA5105,9,5
0,58,LA5205,10,1
0,62,LN5101,9,7
0,63,MA2109,3,2
0,77,MEE3101,5,1
1,5,CA3203,6,1
1,25,LA1905,9,1
1,45,LA4204,8,3
1,47,LA4206,8,1
2,0,AR5101,9,7
2,17,EC3251,6,1
2,32,LA3202,6,1
2,66,MA2209,4,1
3,24,LA1903,9,1
3,27,LA3102,5,2
3,48,LA5101,9,3
3,57,LA5204,10,1
3,76,ME4166,7,1
4,1,AR5103,9,7
4,3,BB3140,5,1
4,15,EC3104,5,1
4,35,LA3205,6,2
4,39,LA4104,7,1
4,42,LA4201,8,2
4,65,MA2207,4,2
4,80,MEE3140,5,1
5,7,CV3103,5,1
5,49,LA5102,9,3
5,59,LA5206,10,2
5,67,MA2210,4,1
6,20,IT3202,6,1
6,26,LA3101,5,1
6,44,LA4203,8,4
6,75,ME4163,7,1
6,79,MEE3120,5,1
7,36,LA4101,7,3
7,38,LA4103,7,3
7,50,LA5103,9,3
7,72,ME3103,5,1
8,6,CV2203,4,1
8,9,CY1003,4,1
8,16,EC3201,6,1
8,28,LA3103,5,2
8,54,LA5201,10,2
9,14,EC3103,5,1
9,22,LA1901,9,1
9,43,LA4202,8,4
10,8,CV3104,5,1
10,56,LA5203,10,2
10,64,MA2205,4,1
10,73,ME3104,5,3
10,81,MEE3149,5,1
11,4,CA3201,6,1
11,40,LA4105,7,1
11,46,LA4205,8,1
12,12,EC2201,4,1
12,53,LA5106,9,6
12,78,MEE3102,5,1
13,31,LA3106,5,3
13,33,LA3203,6,4
13,60,LAIX05,10,1
13,61,LN2207,4,1
13,74,ME3202,6,2
14,2,BB3104,5,1
14,10,DOA2007,5,1
14,19,EE2101,3,1
14,21,LA1301,3,1
14,37,LA4102,7,3
14,55,LA5202,10,2
14,70,ME2202,4,1
15,11,DOA2010,9,7
15,34,LA3204,6,3
16,18,EC4146,7,1
16,41,LA4142,7,2
16,71,ME3102,5,1
17,13,EC3101,5,1
17,30,LA3105,5,3
17,51,LA5104,9,4
17,68,MA2217,4,1
17,69,ME0001,7,1
