student_id,course_id
reg1,13
reg1,47
reg10,19
reg10,22
reg10,24
reg11,26
reg12,46
reg13,1
reg13,2
reg13,3
reg13,51
reg14,0
reg15,48
reg15,50
reg16,27
reg16,30
reg16,31
reg16,32
reg16,33
reg17,15
reg17,16
reg17,17
reg17,18
reg17,19
reg17,20
reg17,26
reg17,27
reg17,28
reg19,54
reg2,10
reg2,14
reg20,52
reg20,53
reg20,54
reg20,55
reg21,4
reg21,5
reg21,6
reg21,7
reg21,8
reg21,49
reg22,56
reg22,57
reg25,37
reg27,29
reg28,16
reg28,19
reg28,27
reg28,36
reg28,39
reg28,40
reg29,55
reg3,11
reg3,12
reg4,9
reg5,20
reg5,23
reg5,25
reg5,30
reg5,31
reg5,32
reg5,33
reg5,34
reg5,35
reg5,38
reg5,39
reg5,40
reg5,41
reg5,42
reg5,43
reg6,21
reg6,22
reg6,23
reg6,24
reg6,25
reg6,31
reg6,32
reg6,33
reg6,38
reg6,40
reg6,41
reg6,42
reg6,43
reg6,44
reg6,45
reg6,46
reg7,25
reg8,23
reg9,39
reg9,40
