student_id,course_id
0,5
0,8
0,7
1,4
1,2
1,6
1,0
1,1
2,6
2,0
2,3
3,9
3,5
3,8
3,7
4,6
4,0
4,4
5,2
5,6
5,0
5,1
6,7
6,9
6,8
7,5
7,7
7,9
8,3
8,6
8,1
8,2
8,4
8,0
9,9
9,8
9,7
9,5
10,7
10,5
10,8
10,9
11,0
11,4
11,2
12,8
12,9
12,5
12,7
13,9
13,7
13,5
14,4
14,6
14,3
15,8
15,5
15,7
15,9
16,5
16,9
16,8
17,1
17,3
18,3
18,2
19,5
19,8
19,9
19,7
20,0
20,6
20,3
20,1
21,7
21,9
21,8
22,2
22,6
22,4
22,0
23,5
23,9
23,7
24,1
24,2
24,6
25,6
25,2
25,0
25,1
25,3
25,4
26,5
26,9
27,6
27,0
27,2
27,1
28,7
28,5
28,9
29,8
29,9
29,5
29,7
30,8
30,9
31,4
31,2
31,1
32,1
32,2
32,0
32,4
32,3
33,5
33,9
33,8
34,0
34,2
35,8
35,7
35,5
36,3
36,2
36,4
37,1
37,3
37,4
37,2
38,7
38,5
38,8
39,3
39,0
39,2
39,1
39,6
40,5
40,7
40,9
41,9
41,5
42,5
42,8
42,9
43,0
43,1
43,2
44,9
44,8
44,7
45,8
45,5
46,7
46,5
46,8
47,9
47,5
48,7
48,5
48,8
48,9
49,0
49,1
49,2
49,3
49,6
49,4
50,1
50,4
50,2
50,6
51,5
51,9
51,8
52,6
52,3
52,1
52,4
53,3
53,6
53,2
53,0
54,9
54,8
54,7
55,8
55,5
55,9
56,7
56,8
56,5
56,9
57,8
57,9
57,5
58,9
58,8
58,7
59,5
59,9
59,8
60,8
60,5
60,9
60,7
61,0
61,2
62,8
62,7
62,9
62,5
63,8
63,5
63,9
64,5
64,7
64,8
64,9
65,8
65,5
65,7
65,9
66,7
66,8
66,9
66,5
67,9
67,8
67,7
68,8
68,9
68,7
68,5
69,9
69,5
69,7
69,8
70,1
70,4
70,6
70,2
71,3
71,4
71,6
72,4
72,2
73,4
73,1
74,3
74,6
74,0
75,2
75,4
75,6
75,1
75,0
75,3
76,9
76,7
76,8
77,2
77,1
78,5
78,8
78,9
78,7
79,1
79,3
