student_id,course_id
reg1,19
reg1,54
reg10,25
reg10,28
reg10,30
reg11,32
reg12,53
reg13,3
reg13,4
reg13,8
reg13,61
reg14,2
reg15,55
reg15,60
reg16,33
reg16,36
reg16,37
reg16,38
reg16,39
reg17,21
reg17,22
reg17,23
reg17,24
reg17,25
reg17,26
reg17,32
reg17,33
reg17,34
reg19,66
reg2,16
reg2,20
reg20,64
reg20,65
reg20,66
reg20,67
reg21,9
reg21,10
reg21,11
reg21,12
reg21,13
reg21,58
reg22,68
reg22,69
reg25,44
reg27,35
reg28,22
reg28,25
reg28,33
reg28,43
reg28,46
reg28,47
reg29,67
reg3,17
reg3,18
reg30,26
reg30,32
reg30,38
reg30,41
reg31,23
reg31,28
reg31,37
reg32,28
reg32,42
reg32,43
reg32,44
reg32,45
reg32,46
reg32,47
reg35,7
reg35,59
reg36,5
reg36,6
reg36,59
reg37,0
reg37,1
reg37,56
reg38,14
reg38,57
reg38,62
reg39,57
reg39,63
reg39,66
reg4,15
reg40,42
reg40,43
reg40,44
reg40,45
reg40,46
reg40,47
reg41,0
reg41,1
reg41,56
reg42,0
reg42,1
reg42,56
reg43,0
reg43,1
reg43,56
reg44,0
reg44,1
reg44,56
reg45,0
reg45,1
reg45,56
reg46,0
reg46,1
reg46,56
reg5,26
reg5,29
reg5,31
reg5,36
reg5,37
reg5,38
reg5,39
reg5,40
reg5,42
reg5,45
reg5,46
reg5,47
reg5,48
reg5,49
reg5,50
reg6,27
reg6,28
reg6,29
reg6,30
reg6,31
reg6,37
reg6,38
reg6,39
reg6,45
reg6,47
reg6,48
reg6,49
reg6,50
reg6,51
reg6,52
reg6,53
reg7,31
reg8,29
reg9,46
reg9,47
