time_slot,exam_id,course_code,year,enrollment
0,16,EC3201,6,1
0,25,LA1905,9,1
0,33,LA3203,6,4
0,41,LA4142,7,2
0,73,ME3104,5,3
0,78,MEE3102,5,1
1,28,LA3103,5,2
1,46,LA4205,8,1
1,47,LA4206,8,1
1,62,LN5101,9,7
1,70,ME2202,4,1
2,17,EC3251,6,1
2,32,LA3202,6,1
2,52,LA5105,9,5
2,61,LN2207,4,1
2,80,MEE3140,5,1
3,7,CV3103,5,1
3,22,LA1901,9,1
3,39,LA4104,7,1
3,54,LA5201,10,2
3,67,MA2210,4,1
4,18,EC4146,7,1
4,20,IT3202,6,1
4,27,LA3102,5,2
4,40,LA4105,7,1
4,45,LA4204,8,3
4,79,MEE3120,5,1
5,12,EC2201,4,1
5,23,LA1902,9,1
5,53,LA5106,9,6
6,9,CY1003,4,1
6,24,LA1903,9,1
6,31,LA3106,5,3
6,57,LA5204,10,1
6,69,ME0001,7,1
7,0,AR5101,9,7
7,4,CA3201,6,1
7,34,LA3204,6,3
7,50,LA5103,9,3
8,14,EC3103,5,1
8,38,LA4103,7,3
8,55,LA5202,10,2
8,60,LAIX05,10,1
8,81,MEE3149,5,1
9,1,AR5103,9,7
9,3,BB3140,5,1
9,29,LA3104,5,1
9,36,LA4101,7,3
10,5,CA3203,6,1
10,6,CV2203,4,1
10,44,LA4203,8,4
10,68,MA2217,4,1
11,8,CV3104,5,1
11,48,LA5101,9,3
11,59,LA5206,10,2
11,66,MA2209,4,1
11,71,ME3102,5,1
12,35,LA3205,6,2
12,75,ME4163,7,1
13,11,DOA2010,9,7
13,49,LA5102,9,3
14,15,EC3104,5,1
14,26,LA3101,5,1
14,42,LA4201,8,2
14,58,LA5205,10,1
14,63,MA2109,3,2
14,72,ME3103,5,1
15,10,DOA2007,5,1
15,51,LA5104,9,4
16,2,BB3104,5,1
16,19,EE2101,3,1
16,30,LA3105,5,3
16,56,LA5203,10,2
16,64,MA2205,4,1
16,65,MA2207,4,2
16,74,ME3202,6,2
16,76,ME4166,7,1
17,13,EC3101,5,1
17,21,LA1301,3,1
17,37,LA4102,7,3
17,43,LA4202,8,4
17,77,MEE3101,5,1
