time_slot,exam_id,course_code,year,enrollment
0,19,EE2101,3,1
0,20,IT3202,6,1
0,22,LA1901,9,1
0,25,LA1905,9,1
0,38,LA4103,7,3
0,56,LA5203,10,2
0,60,LAIX05,10,1
0,69,ME0001,7,1
1,15,EC3104,5,1
1,44,LA4203,8,4
1,66,MA2209,4,1
1,68,MA2217,4,1
1,79,MEE3120,5,1
2,51,LA5104,9,4
2,62,LN5101,9,7
3,14,EC3103,5,1
3,81,MEE3149,5,1
4,12,EC2201,4,1
4,31,LA3106,5,3
4,33,LA3203,6,4
4,61,LN2207,4,1
5,4,CA3201,6,1
5,6,CV2203,4,1
5,10,DOA2007,5,1
5,11,DOA2010,9,7
5,13,EC3101,5,1
5,49,LA5102,9,3
5,54,LA5201,10,2
6,18,EC4146,7,1
6,24,LA1903,9,1
6,30,LA3105,5,3
6,45,LA4204,8,3
7,2,BB3104,5,1
7,9,CY1003,4,1
7,55,LA5202,10,2
7,63,MA2109,3,2
7,80,MEE3140,5,1
8,27,LA3102,5,2
8,32,LA3202,6,1
8,64,MA2205,4,1
8,73,ME3104,5,3
8,76,ME4166,7,1
9,17,EC3251,6,1
9,21,LA1301,3,1
9,41,LA4142,7,2
9,59,LA5206,10,2
10,26,LA3101,5,1
10,42,LA4201,8,2
10,47,LA4206,8,1
11,7,CV3103,5,1
11,16,EC3201,6,1
11,52,LA5105,9,5
11,58,LA5205,10,1
11,71,ME3102,5,1
11,77,MEE3101,5,1
12,3,BB3140,5,1
12,36,LA4101,7,3
12,65,MA2207,4,2
12,75,ME4163,7,1
13,39,LA4104,7,1
13,43,LA4202,8,4
13,67,MA2210,4,1
13,78,MEE3102,5,1
14,1,AR5103,9,7
14,8,CV3104,5,1
14,23,LA1902,9,1
14,40,LA4105,7,1
14,74,ME3202,6,2
15,5,CA3203,6,1
15,37,LA4102,7,3
15,53,LA5106,9,6
16,0,AR5101,9,7
16,28,LA3103,5,2
16,46,LA4205,8,1
16,57,LA5204,10,1
17,34,LA3204,6,3
17,70,ME2202,4,1
17,72,ME3103,5,1
18,29,LA3104,5,1
18,50,LA5103,9,3
20,35,LA3205,6,2
20,48,LA5101,9,3
