student_id,course_id,course_code
13,0,CS101
14,0,CS101
15,0,CS101
25,0,CS101
4,0,CS101
20,0,CS101
5,0,CS101
12,0,CS101
1,0,CS101
28,0,CS101
3,0,CS101
24,0,CS101
16,0,CS101
11,0,CS101
21,0,CS101
29,0,CS101
9,0,CS101
10,0,CS101
23,0,CS101
22,0,CS101
17,0,CS101
26,0,CS101
7,0,CS101
0,0,CS101
8,0,CS101
27,0,CS101
6,0,CS101
19,0,CS101
18,0,CS101
2,0,CS101
9,1,CS102
20,1,CS102
12,1,CS102
13,1,CS102
6,1,CS102
14,1,CS102
1,1,CS102
4,1,CS102
26,1,CS102
11,1,CS102
28,1,CS102
23,1,CS102
24,1,CS102
17,1,CS102
5,1,CS102
3,1,CS102
7,1,CS102
16,1,CS102
10,1,CS102
22,1,CS102
0,1,CS102
21,1,CS102
19,1,CS102
27,1,CS102
25,1,CS102
15,1,CS102
18,1,CS102
2,1,CS102
29,1,CS102
8,1,CS102
14,2,CS201
24,2,CS201
1,2,CS201
22,2,CS201
4,2,CS201
9,2,CS201
18,2,CS201
27,2,CS201
12,2,CS201
17,2,CS201
5,2,CS201
16,2,CS201
10,2,CS201
11,2,CS201
21,2,CS201
23,2,CS201
2,2,CS201
6,2,CS201
7,2,CS201
19,2,CS201
29,2,CS201
20,2,CS201
13,2,CS201
25,2,CS201
26,2,CS201
0,2,CS201
3,2,CS201
8,2,CS201
28,2,CS201
15,2,CS201
10,3,CS202
27,3,CS202
19,3,CS202
9,3,CS202
6,3,CS202
23,3,CS202
7,3,CS202
24,3,CS202
8,3,CS202
28,3,CS202
5,3,CS202
22,3,CS202
12,3,CS202
13,3,CS202
21,3,CS202
11,3,CS202
17,3,CS202
16,3,CS202
2,3,CS202
3,3,CS202
18,3,CS202
15,3,CS202
4,3,CS202
25,3,CS202
14,3,CS202
0,3,CS202
20,3,CS202
1,3,CS202
29,3,CS202
26,3,CS202
