student_id,course_id
reg1,17
reg1,49
reg10,23
reg10,26
reg10,28
reg11,30
reg11,33
reg12,48
reg13,2
reg13,3
reg13,4
reg13,53
reg14,0
reg14,1
reg15,50
reg15,52
reg16,31
reg16,34
reg16,35
reg16,36
reg16,37
reg17,19
reg17,20
reg17,21
reg17,22
reg17,23
reg17,24
reg17,30
reg17,31
reg17,32
reg17,33
reg18,60
reg19,57
reg2,14
reg2,18
reg20,54
reg20,55
reg20,56
reg20,57
reg20,58
reg20,59
reg21,6
reg21,7
reg21,8
reg21,9
reg21,10
reg21,11
reg21,12
reg21,51
reg22,5
reg22,61
reg22,62
reg22,63
reg22,64
reg22,65
reg3,15
reg3,16
reg4,13
reg5,24
reg5,27
reg5,29
reg5,34
reg5,35
reg5,36
reg5,37
reg5,38
reg5,39
reg5,40
reg5,41
reg5,42
reg5,43
reg5,44
reg5,45
reg6,25
reg6,26
reg6,27
reg6,28
reg6,29
reg6,35
reg6,36
reg6,37
reg6,40
reg6,42
reg6,43
reg6,44
reg6,45
reg6,46
reg6,47
reg6,48
reg7,29
reg8,27
reg9,41
reg9,42
