time_slot,exam_id,course_code,year,enrollment
0,12,EC2201,4,1
0,43,LA4202,8,4
0,50,LA5103,9,3
0,65,MA2207,4,2
0,68,MA2217,4,1
1,3,BB3140,5,1
1,14,EC3103,5,1
1,30,LA3105,5,3
1,56,LA5203,10,2
2,17,EC3251,6,1
2,39,LA4104,7,1
2,48,LA5101,9,3
2,81,MEE3149,5,1
3,1,AR5103,9,7
3,55,LA5202,10,2
3,75,ME4163,7,1
4,15,EC3104,5,1
4,71,ME3102,5,1
4,77,MEE3101,5,1
5,19,EE2101,3,1
5,24,LA1903,9,1
5,26,LA3101,5,1
5,44,LA4203,8,4
5,70,ME2202,4,1
6,54,LA5201,10,2
6,62,LN5101,9,7
7,34,LA3204,6,3
7,41,LA4142,7,2
7,49,LA5102,9,3
7,67,MA2210,4,1
7,72,ME3103,5,1
7,80,MEE3140,5,1
8,13,EC3101,5,1
8,31,LA3106,5,3
8,66,MA2209,4,1
9,2,BB3104,5,1
9,5,CA3203,6,1
9,6,CV2203,4,1
9,40,LA4105,7,1
9,46,LA4205,8,1
9,57,LA5204,10,1
9,64,MA2205,4,1
10,20,IT3202,6,1
10,23,LA1902,9,1
10,27,LA3102,5,2
10,33,LA3203,6,4
10,74,ME3202,6,2
11,18,EC4146,7,1
11,42,LA4201,8,2
11,58,LA5205,10,1
11,76,ME4166,7,1
11,79,MEE3120,5,1
12,9,CY1003,4,1
12,16,EC3201,6,1
12,35,LA3205,6,2
12,38,LA4103,7,3
12,60,LAIX05,10,1
12,63,MA2109,3,2
13,29,LA3104,5,1
13,47,LA4206,8,1
13,51,LA5104,9,4
13,73,ME3104,5,3
14,36,LA4101,7,3
14,37,LA4102,7,3
14,78,MEE3102,5,1
15,22,LA1901,9,1
15,25,LA1905,9,1
15,53,LA5106,9,6
15,61,LN2207,4,1
16,7,CV3103,5,1
16,11,DOA2010,9,7
16,21,LA1301,3,1
16,45,LA4204,8,3
17,4,CA3201,6,1
17,8,CV3104,5,1
17,52,LA5105,9,5
17,59,LA5206,10,2
17,69,ME0001,7,1
18,0,AR5101,9,7
18,10,DOA2007,5,1
18,28,LA3103,5,2
18,32,LA3202,6,1
